"Labour force characteristics by province, monthly, seasonally adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 14-10-0287-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age group,Statistics,Data type,Geography 4,Labour force characteristics,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30
Both sexes,15 years and over,Estimate,Unadjusted,Canada,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Population 5 6  (x 1,000)","30,924.20","30,949.30","30,978.80","30,994.30","31,009.10","31,037.00","31,061.60","31,084.70","31,114.60","31,138.80","31,161.30","31,177.50","31,191.20","31,216.20","31,234.50","31,251.60","31,265.90","31,283.30","31,315.30","31,356.70","31,391.30","31,430.00","31,466.50"
,,,,,"Labour force 7  (x 1,000)","19,948.10","20,036.10","19,447.70","18,472.60","19,270.30","20,148.90","20,331.70","20,500.50","20,185.70","20,213.70","20,158.80","20,045.10","19,887.60","19,972.10","20,132.50","20,115.70","20,422.50","20,685.50","20,746.80","20,828.50","20,515.50","20,457.20","20,464.10"
,,,,,"Employment 8  (x 1,000)","18,769.40","18,849.90","17,795.90","15,968.80","16,603.40","17,742.30","18,038.40","18,218.30","18,475.70","18,556.30","18,539.90","18,432.40","17,942.30","18,251.60","18,500.80","18,427.10","18,715.80","19,159.50","19,143.90","19,180.90","19,215.20","19,224.90","19,318.50"
,,,,,"Full-time employment 9  (x 1,000)","15,066.70","15,115.90","14,660.60","13,383.50","14,021.30","14,822.50","14,948.40","15,157.10","15,001.00","14,975.80","14,964.90","14,920.00","14,699.70","14,800.40","14,967.40","14,999.90","15,413.90","15,700.30","15,849.70","15,908.20","15,647.40","15,596.20","15,554.30"
,,,,,"Part-time employment  10  (x 1,000)","3,702.70","3,734.00","3,135.30","2,585.30","2,582.00","2,919.70","3,090.00","3,061.20","3,474.70","3,580.40","3,575.00","3,512.40","3,242.60","3,451.30","3,533.40","3,427.20","3,301.90","3,459.10","3,294.20","3,272.60","3,567.70","3,628.70","3,764.20"
,,,,,"Unemployment 11  (x 1,000)","1,178.70","1,186.20","1,651.80","2,503.90","2,666.90","2,406.60","2,293.30","2,282.20","1,710.10","1,657.40","1,618.90","1,612.70","1,945.30","1,720.40","1,631.70","1,688.60","1,706.70","1,526.00","1,602.90","1,647.60","1,300.40","1,232.30","1,145.60"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unemployment rate 12,5.9,5.9,8.5,13.6,13.8,11.9,11.3,11.1,8.5,8.2,8,8,9.8,8.6,8.1,8.4,8.4,7.4,7.7,7.9,6.3,6,5.6
,,,,,Employment rate 13,60.7,60.9,57.4,51.5,53.5,57.2,58.1,58.6,59.4,59.6,59.5,59.1,57.5,58.5,59.2,59,59.9,61.2,61.1,61.2,61.2,61.2,61.4
