province,0,cases,cumulative_cases,,,,date_report,Monthly cases,,,,,
,Canada,25-01-2020,1,1,,,2020-01-31,4,,31,01,2020,1/31/2020
,Canada,26-01-2020,0,1,,,2020-02-29,16,,29,02,2020,2/29/2020
,Canada,27-01-2020,1,2,,,2020-03-31,8569,,31,03,2020,3/31/2020
,Canada,28-01-2020,1,3,,,2020-04-30,45621,,30,04,2020,4/30/2020
,Canada,29-01-2020,0,3,,,2020-05-31,38187,,31,05,2020,5/31/2020
,Canada,30-01-2020,0,3,,,2020-06-30,13566,,30,06,2020,6/30/2020
,Canada,31-01-2020,1,4,4,,2020-07-31,12177,,31,07,2020,7/31/2020
,Canada,1/2/20,0,4,,,2020-08-31,12640,,31,08,2020,8/31/2020
,Canada,2/2/20,0,4,,,2020-09-30,30178,,30,09,2020,9/30/2020
,Canada,3/2/20,0,4,,,2020-10-31,76090,,31,10,2020,10/31/2020
,Canada,4/2/20,1,5,,,2020-11-30,144392,,30,11,2020,11/30/2020
,Canada,5/2/20,0,5,,,2020-12-31,203021,,31,12,2020,12/31/2020
,Canada,6/2/20,2,7,,,2021-01-31,198699,,31,01,2021,1/31/2021
,Canada,7/2/20,0,7,,,2021-02-28,87927,,28,02,2021,2/28/2021
,Canada,8/2/20,0,7,,,2021-03-31,117288,,31,03,2021,3/31/2021
,Canada,9/2/20,0,7,,,2021-04-30,239869,,30,04,2021,4/30/2021
,Canada,10/2/20,0,7,,,2021-05-31,160064,,31,05,2020,5/31/2020
,Canada,11/2/20,0,7,,,2021-06-30,33505,,30,06,2021,6/30/2021
,Canada,12/2/20,0,7,,,2021-07-31,15548,,31,07,2021,7/31/2021
,Canada,13-02-2020,0,7,,,2021-08-31,68689,,31,08,2021,8/31/2021
,Canada,14-02-2020,1,8,,,2021-09-30,124649,,30,09,2021,9/30/2021
,Canada,15-02-2020,0,8,,,2021-10-31,90335,,31,10,2021,10/31/2021
,Canada,16-02-2020,0,8,,,2021-11-30,78743,,30,11,2021,11/30/2021
,Canada,17-02-2020,0,8,,,,,,,,,
,Canada,18-02-2020,0,8,,,,,,,,,
,Canada,19-02-2020,0,8,,,,,,,,,
,Canada,20-02-2020,1,9,,,,,,,,,
,Canada,21-02-2020,0,9,,,,,,,,,
,Canada,22-02-2020,0,9,,,,,,,,,
,Canada,23-02-2020,1,10,,,,,,,,,
,Canada,24-02-2020,1,11,,,,,,,,,
,Canada,25-02-2020,0,11,,,,,,,,,
,Canada,26-02-2020,1,12,,,,,,,,,
,Canada,27-02-2020,2,14,,,,,,,,,
,Canada,28-02-2020,2,16,,,,,,,,,
,Canada,29-02-2020,4,20,16,,,,,,,,
,Canada,1/3/20,4,24,,,,,,,,,
,Canada,2/3/20,0,24,,,,,,,,,
,Canada,3/3/20,9,33,,,,,,,,,
,Canada,4/3/20,1,34,,,,,,,,,
,Canada,5/3/20,12,46,,,,,,,,,
,Canada,6/3/20,8,54,,,,,,,,,
,Canada,7/3/20,6,60,,,,,,,,,
,Canada,8/3/20,7,67,,,,,,,,,
,Canada,9/3/20,19,86,,,,,,,,,
,Canada,10/3/20,9,95,,,,,,,,,
,Canada,11/3/20,21,116,,,,,,,,,
,Canada,12/3/20,40,156,,,,,,,,,
,Canada,13-03-2020,42,198,,,,,,,,,
,Canada,14-03-2020,59,257,,,,,,,,,
,Canada,15-03-2020,84,341,,,,,,,,,
,Canada,16-03-2020,100,441,,,,,,,,,
,Canada,17-03-2020,156,597,,,,,,,,,
,Canada,18-03-2020,130,727,,,,,,,,,
,Canada,19-03-2020,146,873,,,,,,,,,
,Canada,20-03-2020,214,1087,,,,,,,,,
,Canada,21-03-2020,244,1331,,,,,,,,,
,Canada,22-03-2020,140,1471,,,,,,,,,
,Canada,23-03-2020,620,2091,,,,,,,,,
,Canada,24-03-2020,728,2819,,,,,,,,,
,Canada,25-03-2020,589,3408,,,,,,,,,
,Canada,26-03-2020,634,4042,,,,,,,,,
,Canada,27-03-2020,714,4756,,,,,,,,,
,Canada,28-03-2020,898,5654,,,,,,,,,
,Canada,29-03-2020,665,6319,,,,,,,,,
,Canada,30-03-2020,1127,7446,,,,,,,,,
,Canada,31-03-2020,1143,8589,8569,,,,,,,,
,Canada,1/4/20,1599,10188,,,,,,,,,
,Canada,2/4/20,1587,11775,,,,,,,,,
,Canada,3/4/20,1202,12977,,,,,,,,,
,Canada,4/4/20,1429,14406,,,,,,,,,
,Canada,5/4/20,1506,15912,,,,,,,,,
,Canada,6/4/20,1250,17162,,,,,,,,,
,Canada,7/4/20,1397,18559,,,,,,,,,
,Canada,8/4/20,1291,19850,,,,,,,,,
,Canada,9/4/20,1550,21400,,,,,,,,,
,Canada,10/4/20,1312,22712,,,,,,,,,
,Canada,11/4/20,1247,23959,,,,,,,,,
,Canada,12/4/20,1098,25057,,,,,,,,,
,Canada,13-04-2020,1368,26425,,,,,,,,,
,Canada,14-04-2020,1460,27885,,,,,,,,,
,Canada,15-04-2020,1346,29231,,,,,,,,,
,Canada,16-04-2020,1732,30963,,,,,,,,,
,Canada,17-04-2020,1883,32846,,,,,,,,,
,Canada,18-04-2020,1530,34376,,,,,,,,,
,Canada,19-04-2020,1634,36010,,,,,,,,,
,Canada,20-04-2020,1842,37852,,,,,,,,,
,Canada,21-04-2020,1531,39383,,,,,,,,,
,Canada,22-04-2020,1970,41353,,,,,,,,,
,Canada,23-04-2020,1863,43216,,,,,,,,,
,Canada,24-04-2020,1624,44840,,,,,,,,,
,Canada,25-04-2020,1419,46259,,,,,,,,,
,Canada,26-04-2020,1587,47846,,,,,,,,,
,Canada,27-04-2020,1632,49478,,,,,,,,,
,Canada,28-04-2020,1466,50944,,,,,,,,,
,Canada,29-04-2020,1693,52637,,,,,,,,,
,Canada,30-04-2020,1573,54210,45621,,,,,,,,
,Canada,1/5/20,1956,56166,,,,,,,,,
,Canada,2/5/20,1578,57744,,,,,,,,,
,Canada,3/5/20,2560,60304,,,,,,,,,
,Canada,4/5/20,1482,61786,,,,,,,,,
,Canada,5/5/20,1268,63054,,,,,,,,,
,Canada,6/5/20,1487,64541,,,,,,,,,
,Canada,7/5/20,1510,66051,,,,,,,,,
,Canada,8/5/20,1468,67519,,,,,,,,,
,Canada,9/5/20,1242,68761,,,,,,,,,
,Canada,10/5/20,1167,69928,,,,,,,,,
,Canada,11/5/20,1187,71115,,,,,,,,,
,Canada,12/5/20,1158,72273,,,,,,,,,
,Canada,13-05-2020,1150,73423,,,,,,,,,
,Canada,14-05-2020,1223,74646,,,,,,,,,
,Canada,15-05-2020,1178,75824,,,,,,,,,
,Canada,16-05-2020,1233,77057,,,,,,,,,
,Canada,17-05-2020,1126,78183,,,,,,,,,
,Canada,18-05-2020,1076,79259,,,,,,,,,
,Canada,19-05-2020,1115,80374,,,,,,,,,
,Canada,20-05-2020,1079,81453,,,,,,,,,
,Canada,21-05-2020,1173,82626,,,,,,,,,
,Canada,22-05-2020,1210,83836,,,,,,,,,
,Canada,23-05-2020,1200,85036,,,,,,,,,
,Canada,24-05-2020,956,85992,,,,,,,,,
,Canada,25-05-2020,1027,87019,,,,,,,,,
,Canada,26-05-2020,976,87995,,,,,,,,,
,Canada,27-05-2020,894,88889,,,,,,,,,
,Canada,28-05-2020,994,89883,,,,,,,,,
,Canada,29-05-2020,932,90815,,,,,,,,,
,Canada,30-05-2020,777,91592,,,,,,,,,
,Canada,31-05-2020,805,92397,38187,,,,,,,,
